title	is_fake
Силы ВСУ под Луганском отбили шесть захваченных сепаратистами танков Т-34	1
Литва захотела арестовать имущество «Газпрома» в Европе	0
Эрдоган приедет в Бахчисарай на празднование победы в Крымской войне	1
В Совфеде предложили законодательно закрепить термин «Замкадье»	1
Кейси Аффлеку предложили сыграть архангела Гавриила	0
Джонни Марр запретил британскому премьеру любить The Smiths	0
С 1 января в России отменят платные дороги	1
Моррисси заступился за комикс со своими цитатами	0
Житель Литвы 30 лет притворялся ветераном СС ради льгот и выплат	1
После переноса столицы Ленинградской области Гатчину переименуют в Ленинград	1
Патриарх Кирилл согласился принять Байдена в православие	1
Суд обязал якутского шамана снять порчу с Роснано	1
В московской подземке появится первое кафе	0
В Бурятии нашли поселение древних панков	1
СК объявил в розыск бульдозериста, причастного к несанкционированной утилизации российской моркови	1
Собянин пообещал устроить москвичам «Крем-пай» до конца июня	1
Из-за технического сбоя россиянам придётся повторно оплатить все штрафы за нарушения ПДД в 2021 году	1
Бейонсе и ДЖЕЙ-ЗИ оформили предполагаемые имена близнецов как товарный знак	0
Саночники завоевали для Латвии первую медаль Олимпиады-2010	0
Итальянские учёные обнаружили останки легионеров, которые в момент гибели Помпеи разгоняли митинг	1
Налоговики восстановили действие лицензий 121 производителя алкоголя	0
«Аэрофлот» в знак солидарности с «Белавиа» сокращает свой штат на 50 процентов	1
Задержанных на митингах обяжут оплачивать своё пребывание в ИВС	1
Европа переходит на экомобили: лошади могут полностью вытеснить машины к 2040 году	1
Эсминец USS Zumwalt вошёл в российские воды, чтобы дозвониться на Прямую линию Президента России	1
Валуеву не удалось посмотреть на Шарапову	0
Нападающего сборной Германии исключили из команды за посещение ночного клуба	0
Ученые увидели хищную сверхтяжелую звезду	0
Группа The Kills потеряла автобус с аппаратурой и водителем	0
В Сандуновских банях избран новый состав Центрального комитета ЛДПР	1
Волков: «Протесты 14 февраля пройдут по почте»	1
Стеллу Маккартни назвали дизайнером года	0
Российские вице-премьеры отказываются посещать Россию, боясь, что их не выпустят обратно	1
Бен Аффлек снимет пилот сериала про мафию	0
Бывший полковник ГРУ раскрыл незаконную схему заработка сотрудников разведки	1
Запрет продажи алкоголя на нерабочей неделе не коснётся работников предприятий непрерывного цикла	1
Французский режиссер Клер Дени показывает любовь в самых кровавых тонах	0
Петрова и Чакветадзе вышли в третий круг Australian Open	0
«После «Новичка» голодать можно и полгода»: доктор Мясников рассказал о побочных действиях яда	1
«Мы думали, что Познер прилетел»: грузинские радикалы извинились за срыв акции в поддержку ЛГБТ	1
Российские Союзы останутся главным транспортом к МКС	0
Рязанские школьники провели мастер-класс для сотрудников полиции по поиску закладок с наркотиками	1
Снижение иены резко подняло японские акции	0
День музыкального магазина отметят синглами битлов и роллингов	0
В России запретят продавать сигареты без пройденной флюорографии	1
Назван самый популярный алкоголь у россиян	0
В краснодарском колхозе вывели коров, дающих пальмовое масло	1
Канадцев попросят отказаться от смывания аквариумных рыбок в унитаз	0
Криптовалютные биржи закрылись от новых пользователей	0
ЦБ пообещал снижение инфляции до 4 процентов в 2017 году	0
Глобальное потепление грозит жителям российского Заполярья потерей северных льгот	1
Студия Никиты Михалкова за бюджетные средства снимет фильм о создании вакцины «Спутник V»	1
Центробанк решился на чистку страхового сектора	0
Определились финалистки US Open	0
Елизавета II примет участие в британском аналоге шоу «Давай поженимся»	1
Путин создал на Кавказе региональные командования Внутренних войск	0
Конкурс на здание Пермского музея выиграли два архитектора	0
Москвичи пригрозили остановить работу старейшего McDonalds в России	0
Microsoft начала кампанию по отказу от бренда Nokia	0
Явлинский призвал раздавить гидру либерализма	1
Rockstar начала работу над GTA VI	0
Раскрыта главная опасность употребления мороженого летом	0
Собрание акварелей Уильяма Блейка продано по частям	0
В российских банках нашли 130 тысяч поддельных банкнот	0
В Басманный суд Москвы поступил иск о лишении Леонида Брежнева всех наград	1
Минэкономразвития разошлось с Росстатом в оценке роста промпроизводства	0
Плющенко выиграл короткую программу в Ванкувере	0
Видеоколлекция Альфреда Хичкока открылась фильмом Психо	0
Счётная палата предложила «Роскосмосу» сократить расходы на любовниц руководства	1
Пресс-секретарь короля Лордерона заявил, что не в курсе о пандемии чумы в Стратхольме	1
Ребгун предложил дочкам ЮКОСа обменяться лицензиями	0
Игорь Стрелков задержан для обмена на Виктора Медведчука	1
В родное село Гагарина провели газ	1
Первые заводные ноутбуки отправились к заказчикам	0
В центре Петербурга на один день поставили памятник Виктору Цою	0
Врач из Петербурга выдавал себя за наркодилера, чтобы вакцинировать своих пациентов	1
Команда Евгения Малкина вышла в финал Кубка Стэнли	0
Еще один спутник ГЛОНАСС начал работу	0
В России создан первый такафул-страховщик	0
Граждан трудоспособного возраста законодательно обяжут содержать родителей-пенсионеров	1
Кандидатом в тренеры английского футбольного клуба стала женщина	0
Лидер Foo Fighters появился на сцене в фиолетовом гипсе	0
Россиянок принудительно привьют от бездетности	1
Органы ювенальной юстиции Нидерландов добились принудительной операции по смене пола для пятилетнего мальчика	1
Давид Хомак распечатает и символически сожжет фашистские и расистские статьи Lurkmore	1
Кушнер получил Пушкинскую премию, а Войнович и Волос — путинскую	0
Месси решил побить вечный рекорд Барселоны	0
Выпускники журфака МГУ впервые в истории дали «клятву Познера»	1
Представители Поветкина опоздали на вскрытие допинг-пробы Б спортсмена	0
Для улучшения успеваемости студентов МГУ выделит 7 млн рублей на ремонт кабинета ректора	1
Северная верфь заложила новый фрегат для ВМФ России	0
Госдума приняла закон о запрете дарения носков на 23 февраля	1
Астронавты выйдут в открытый космос из-за утечки аммиака на МКС	0
Среди полицейских, соблюдающих масочный режим, разыграют генеральское звание	1
Олег Кашин сыграет Штирлица в ремейке «Семнадцати мгновений весны»	1
Лукашенко перед вылетом в Сочи призвал не беспокоиться о новом кредите: Я в России любую дверь ногой могу открывать. И там это знают	1
По итогам Масленицы 300 депутатов Госдумы были госпитализированы из-за переедания черной икры	1
В Томске пройдет выставка качественного дорожного покрытия	1
Спортивная газета LEquipe назвала чемпиона чемпионов	0
Роскомнадзор присвоил Владимиру Соловьеву статус узника совести	1
Российского солдата будущего срисовали с компьютерной игры	0
«Лукойл» открыл кредитную линию в Сбербанке  на 90 миллиардов	0
В США создали энергосберегающий электрический стул	1
Лужники отказались сменить газон к приезду сборной Англии	0
Обозначена полезная доза кофе	0
«Проверка на вшивость»: в Нижневартовске задержали школьников, бросавших мячами в людей в форме ОМОНа	1
Суперкомпьютер предсказал победу Лукашенко на российских выборах	1
Аутсайдер чемпионата КХЛ уволил тренера	0
Боб Дилан напишет шесть книг	0
Соперниками России на чемпионате мира по хоккею стали Швейцария, Чехия и Казахстан	0
В белорусских школах начнут изучать чучхе	1
Члены ОДКБ выберут сторону киргизо-таджикского конфликта методом жеребьёвки	1
Техосмотр отменят только для вакцинированных автовладельцев	1
Сергей Ковалев показал болельщикам соперника средний палец	0
Эрдоган на встрече с Путиным назвал Крым «издревле русской всенародной здравницей»	1
Майк Пенс выступит на съезде Республиканской партии с осуждением «культа личности Трампа»	1
Линус Торвальдс сообщил о грядущей монетизации ядра Linux	1
Режиссер фильма о войне в Донбассе совершил самоубийство	0
Женщины будут получать пенсии в 2,5 раза меньше, чем мужчины	0
Из-за долгов Депардье в Саранске не могут приступить к капитальному ремонту домов	1
Москвич, пришедший на вакцинацию от COVID-19, выиграл 28 млн рублей	1
Зенит разгромил Локомотив	0
Игрока клуба НБА дисквалифицировали на 20 матчей	0
С 1 мая аккредитация журналистов в Госдуме не распространяется на столовую	1
Счетная палата обнаружила нарушения на 500 млн рублей при закупке лайков для поддержки провластных инициатив в соцсетях	1
Пользователи Ubuntu жалуются на принудительное обновление их системы до Windows 11	1
Apple встроила Thunderbolt в компьютер Mac mini и монитор Cinema Display	0
«Надеюсь, ты ещё много лет будешь президентом СССР»: Байден поздравил Горбачёва с 90-летием	1
Nokia решила засудить Apple	0
Снижение пенсионного возраста в Китае привело к росту ВВП на 1,4%	1
Мужчинам с длинными волосами запретят владеть огнестрельным оружием	1
В Новой Москве произошла очередная драка с участием лиц ***ской национальности	1
Мик Джаггер и Джулианна Маргулис в фильме Человек с Елисейских полей	0
Появилось видео со взвешивания Макгрегора и Мэйуэзера	0
МОК разрешил Ираку участвовать в Олимпиаде-2008	0
На Цифровом Октябре начнется Любля	0
Из Оружейной палаты Московского Кремля пропала печать Сатаны	1
Газпром выполнил план поставок газа на Украину	0
После победы в Кубке УЕФА ЦСКА выиграл у Спартака	0
Импортное пиво вернут в школьные буфеты	1
Накануне вручения кинопремии Ника у нее появился официальный сайт	0
Из-за высоких цен на газ жители Германии стали чаще заказывать согревательные туры в Крым	1
Сайт «ПризываНет» обвинили в работе на Пентагон	1
Белорусского оппозиционера задержали в машине с мертвым зубром в багажнике	1
Россия начинает распродажу Восточной Сибири	0
Дорогой Джон! Пора перебираться в Россию!	1
Дмитрий Киселёв, год назад называвший глобальное потепление мифом западных элит, объяснил им небывалые пожары в Якутии	1
«Россия должна нам ещё миллиард долларов»: Минфин США пересчитал размер поставок по ленд-лизу	1
Долг Белоруссии за российский газ превысил полмиллиарда долларов	0
Газпром продлил договор с Молдавией на один квартал	0
«Кубань» впервые вышла в групповой этап Лиги Европы	0
Мосэнерго повышает тарифы на тепло и свет	0
В Англии недовольны уходом Смертина в Динамо	0
Толстых еще раз пообещал сполна заплатить Капелло	0
Звезда «Зачарованных» вступилась за свою вагину и обматерила трансгендера	0
Волейболистки «Динамо» обыграли «Галатасарай» и завоевали Кубок ЕКВ	0
Во избежание скопления зрителей Салют Победы дадут на закрытых полигонах	1
Второго топ-менеджера EADS обвинили в инсайдерской торговле	0
Вокалистка The Cardigans записала кавер на Pink Floyd	0
Депутаты Госдумы намерены запретить россиянам подозревать представителей власти в еврейском происхождении	1
В случае отключения от SWIFT все валютные вклады россиян будут аннулированы - эксперт	1
Надежда Петрова поднялась на 14-е место в теннисном рейтинге	0
Силуанов увидел в оценках экономики России признание эффективности политики	0
Время разговора по мобильному телефону для россиян ограничат 20 минутами в день	1
Павлюченкова вышла в четвертьфинал Australian Open	0
Новые сибирские города построят из разобранных московских хрущевок	1
Чиновники МНС потратили не по назначению миллион долларов	0
Воробьи заменят голубей в звании птицы мира	1
Выручка музея русской водки выросла на 2000% после введения «пушкинских карт»	1
Дмитрий Набоков призвал не сравнивать Лауру с другими произведениями отца	0
В Малайзии из «Красавицы и чудовища» вырезали гей-персонажа и отменили премьеру	0
Современная математика оказалась бессильна перед задачей Навье-Стокса	0
Уралмашзавод приступил к постройке шагающего экскаватора для деблокирования Суэцкого канала	1
Крупнейшим российским дистрибутором лекарств заинтересовался Роман Абрамович	0
Отреставрированы колонны Большого театра	0
Эксперты назвали главные недостатки российской экономики	0
Новое постановление президента обяжет российских губернаторов регулярно ходить с ночевкой в тайгу	1
Карту зашумленности Австралии составят при помощи смартфонов	0
Умерла самая старая миллиардерша в мире	0
Ученые изучили эффект от протестных твитов	0
Проблемы с подъёмом орбиты модуля «Наука» вызваны забытым на борту строительным пылесосом	1
Новак назвал сроки возможного прекращения поставок газа на Украину	0
В новогоднюю ночь федеральные каналы покажут повтор «Прямой линии» с Путиным вместо «Голубого огонька»	1
На ПМЭФ представлен проект оптимизации снабжения Санкт-Петербурга дровами	1
Ученые научились включать гомосексуальное поведение у мух	0
Патриарх Кирилл назначил нового митрополита Московского метрополитена	1
Покупку машины дороже 100 тысяч рублей придется согласовывать с налоговиками	0
Петербургский «дворник-шеринг» выиграл в лотерею миллион рублей	1
Новая версия Google Chrome не будет работать на ПК с оперативной памятью менее 16 гигабайт	1
Британский флот увеличит калибр корабельной артиллерии	0
Парусная регата в Турции собрала шкиперов из первой пятерки рейтинга	0
Роботы Boston Dynamics создали профсоюз	1
В Техасе закрыли детский сад за отсутствие портрета Джо Байдена	1
Победу в белорусском аналоге «Тотального диктанта» одержал двоечник из Брянска	1
Пожилые россияне, живущие в Норвегии, будут получать пенсии по 170 тысяч рублей	1
Гвинея получила в ООН приз Золотой АК: переворот в стране оказался юбилейным 500-м в Африке за 50 лет	1
В России закрылась последняя фабрика, выпускавшая лапти	1
Совет Федерации рекомендовал ограничить иностранные магазины 10 тысячами посетителей в день	1
Папа Римский Франциск призвал бойкотировать 8 марта	1
Международный исторический суд удовлетворил иск России к США о возвращении Аляски	1
Бернарда Мейдоффа госпитализировали со следами побоев	0
Минтруд предложил ограничить переводы пенсионных накоплений в НПФ	0
Тренер «Зенита» покинул пресс-конференцию после вопроса о судействе	0
Миланский Интер выиграл чемпионат Италии по футболу	0
После отставки Ангела Меркель займёт место в совете директоров «Газпрома»	1
Россия достроит свой сегмент МКС в 2011 году	0
Генералы ВВС США требуют увеличить заказ на F-22	0
Владимир Жириновский назвал тупыми неудачниками тех, кого принимали в пионеры 22 апреля	1
Претенденты на Alitalia сделали итальянским властям предложение	0
В НАТО предложили отменить бесполетную зону в районе мыса Идокопас	1
Глазьев призвал публично сжигать рубли для стабилизации курса национальной валюты	1
В Москве началось строительство взлетно-посадочной полосы рядом с СИЗО «Лефортово»	1
Узбеков признали государствообразующим народом России	1
РПЦ изгнала новгородскую монахиню, сделавшую 13 абортов по полису ОМС	1
Собянин предложил распилить контейнеровоз, перегородивший Суэцкий канал	1
Банкам разрешат повышать проценты по кредитам невакцинированным россиянам	1
Бывшая советская подлодка стала настоящим американским музеем	0
Названы российские участники Венецианской биеннале	0
Казаки отхлестали нагайками краснодарцев, не имевших QR-кодов	1
«Они отписались от рассылки»: Песков объяснил, почему президенты Украины и Грузии не получили новогоднее поздравление Путина	1
Орешкин назвал условие для роста ВВП России на три процента	0
Архив «Крестного отца» выставят на аукционе	0
В сибирской тайге депутат с ружьём отбился от нападения сразу 15 особей краснокнижных животных	1
Бывший баскетболист ЦСКА Теодосич продолжит карьеру в НБА	0
Штрафы за Google и Apple заплатят россияне	1
Шойгу распорядился дополнительно призвать в армию 160 тысяч срочников для службы в стройбатах	1
Андреев и Давыденко выиграли стартовые матчи на чемпионате Австралии	0
Новый премьер Японии потребовал от России контрибуцию за Хиросиму и Нагасаки	1
СКА и ЦСКА открыли сезон Континентальной хоккейной лиги	0
Органы ЗАГСа будут считать живыми только тех россиян, кто принял участие в переписи населения	1
FAKE: Варламов выдал замусоренные улицы городка в Калифорнии за пейзажи Гаити	1
Мэрия Москвы временно запретила смеяться на улице, где находится посольство КНДР	1
Ростовская милиция применила против спартаковских болельщиков дубинки и слезоточивый газ	0
Китайский министр получил 20 лет тюрьмы после того, как у его родителей нашли квартиру в Пекине	1
С начала года число заказов на аквадискотеки в частных домах выросло на 900%	1
Журналисты обнаружили лидера НОД Евгения Федорова в списке победителей лотереи «грин-карты»	1
Asus выпустит две новые линейки Eee PC	0
К проекту с Джорджем Клуни и Хью Лори присоединилась девочка-робот	0
Asus выпустила моноблок с 20-дюймовым экраном	0
Спортсменов, привитых от коронавируса американскими вакцинами, освободят от прохождения допинг-тестов	1
General Electric создаст экономичный двигатель для боевых самолетов	0
Мария Бутина намерена бороться в Думе за полное изъятие оружия у населения	1
Флойд Мэйуэзер выбрал соперника на последний бой в карьере	0
В Клин съедется сто тысяч человек на фестиваль имени Чайковского	0
Альфа-Банк начал продавать карты с «красивыми» номерами	1
Жуки-киборги заменят беспилотники	0
Фотомессенджер Facebook Slingshot стал доступен в России	0
Зеленский пообещал до 2035 года оснастить армию лазерными винтовками и бластерами	1
На Украине начался эксперимент по переводу армии на контрактную основу	0
Двое агентов ФБР заблудились при обыске вашингтонского дома Олега Дерипаски	1
Определено место строительства Главного храма министерства спорта РФ	1
Лукашенко больше не будет ездить в Россию за кредитами	1
СМИ назвали новый клуб баскетболиста Мозгова	0
Неймар ушел с тренировки «Барселоны» после ссоры с одноклубником	0
Голодные игры получили четыре кинонаграды MTV	0
Лидеры Зенита продлили контракты с клубом	0
Терешкова предложила судить россиян у них в квартире	1
Александр Фролов набрал три очка в первом матче за Рейнджерс	0
Химики имитировали рождение предшественников ДНК вблизи умирающих звезд	0
Вместо квартиры школьника из Воркуты полиция по ошибке обыскала жилище Александра Плющева	1
«Они сбивали опасные сосули»: суд оправдал фигурантов дела о стрельбе на свадьбе в Петербурге	1
Фоменко и Васильев в чемпионате FIA GT заработали еще одно очко	0
Гильдия актеров США начала переговоры с голливудскими продюсерами	0
Электронные паспорта придут на помощь наемным убийцам	0
Британские ученые обнаружили утерянные скульптуры Микеланджело	0
НАСА показало высококачественный снимок Земли со «спутника Альберта Гора»	0
Alibaba предложила закупиться алкоголем до конца жизни	0
Бывшие разработчики SWTOR занялись инди-игрой	0
Футбольный фанат погиб в драке перед матчем чемпионата Бразилии	0
МВД проверит всех граждан, отмечающих День Победы 8 мая	1
Анатолий Чубайс возглавил Сбербанк	1
Pearl Jam начали онлайн-продажу нового альбома	0
В Москве пройдет фестиваль японского кино	0
В Костроме забыли включить свет после Часа Земли	1
Москва лишена права проведения чемпионата мира по боксу	0
После инцидента с москвичом в метро Екатеринбурга город выделил 160 млн рублей на проектирование второй линии метрополитена	1
Ольга Бузова выпустит песню «Медалька» в честь Дня Победы	1
КПРФ отказывается возвращать деньги исключенному из предвыборного списка Павлу Грудинину	1
Адель стала триумфатором Billboard Music Award	0
В городах России пройдут спонтанные митинги в поддержку Роскомнадзора	1
Дальневосточный порт зачистили от коррупции	0
На Марсе нашли источник воды и инопланетной жизни	0
Ребгун не смог остановить отзыв лицензии у дочки ЮКОСа	0
Международный олимпийский комитет признал неэффективность антисекс-кроватей в Токио	1
Из нидерландского клуба Аякс ушел главный тренер	0
Минэкономразвития и NYMEX договорились о создании биржи в Петербурге	0
Умер двукратный олимпийский чемпион по хоккею Владимир Петров	0
Гохран провел алмазный аукцион	0
Медведев отменит статью УК Лжепредпринимательство	0
Учёные по ошибке приняли влияние Tik-Tok на интеллект за побочный эффект коронавируса	1
Душанбе охвачен ночными беспорядками из-за проигрыша Манижи на Евровидении	1
Россия отправит Чубайса и Набиуллину в Анкару для спасения турецкой экономики	1
СМИ предупредили о грозящем США пенсионном кризисе	0
Для Rock Band продано шесть миллионов песен	0
Ubisoft анонсировала новую игру про кроликов	0
ЕСПЧ разрешил «гражданам СССР» не платить налоги в России	1
Правительство Франции ошибочно перечислило два миллиона евро селу Париж в России	1
Илон Маск презентовал не требующий энергии подземный эко-холодильник	1
Иван Майнер — первый богатырь-криптоинвестор на Руси	1
«Строгий, но справедливый начальник»: Меркель рассказала о стажировке в Штази под руководством Путина	1
Индус обошел Абрамовича и Дерипаску в десятке богатейших британцев	0
В Европарламенте хотят отключить Россию от PornHub	1
В Латвии ввели уголовную ответственность за вакцинацию «Спутником V»	1
В России прекратил работу последний вуз, выпускающий официантов	1
РЖД задействует товарные вагоны для перевозки невакцинированных пассажиров	1
Разработчик опроверг слухи о выходе Halo 4 на консоли нового поколения	0
Байден поручил создать рабочую группу по внесению поправок в библию	1
Счетная палата подала тендерную заявку на аудит МАГАТЭ, ОЗХО и Интерпола	1
Mars Express сфотографировал развалины 280-километрового вулкана	0
Древние люди оказались невосприимчивыми к раку	0
Россиянин задержан в Китае за попытку изнасилования кошки	1
Создатель мельдония объяснил внесение препарата в список запрещенных	0
Покончившему с собой лидеру Soundgarden поставят памятник в Сиэтле	0
Депутаты от Украины и Литвы вынудили российского представителя в ПАСЕ встретить Новый год в туалете	1
Минфин разместит бессрочные гособлигации, обязательные к приобретению бюджетниками	1
Пассажирам плацкартных вагонов предложат бесплатные противогазы	1
Европейцев обвинили в заражении Азии и Африки дизентерией	0
В США названы лауреаты Национальной книжной премии	0
Поставки репы из Израиля в Россию вырастут более чем на 450%	1
РПЦ причислила к лику святых Бориса Ельцина	1
Российской чемпионке мира запретили плыть в двух шапочках	0
Самая сильная девушка в мире прибыла в Сирию по приглашению жены Асада	0
В UFC рассказали о местах для Путина и Трампа на бое Нурмагомедова с Макгрегором	0
Для прохождения реабилитации Конор Макгрегор отправится в Дагестан	1
Киевская полиция во второй раз вернула игроку «Динамо» похищенный автомобиль	0
Анастасия Мыскина уступила Серене Уильямс в финале теннисного турнира в Лейпциге	0
На госпакет ЛУКОЙЛа претендуют четыре компании	0
Элла Памфилова заявила, что члены избиркомов должны обладать скромностью и не поправлять председателей ТИК	1
Дэмиен Херст рассказал о пропитой премии Тернера	0
Команда Мозгова одержала девятую победу подряд в чемпионате НБА	0
Американского астронавта подвел скафандр	0
У врача, лечившего пивом COVID-19, не умер ни один пациент	1
Роскомнадзор из-за «американской пропаганды» по ошибке заблокировал песни Янки Дягилевой	1
Для покрытия дефицита бюджета МВД откроет хостелы в СИЗО	1
Тихоненко становится главным тренером ЦСКА	0
«Невской битвы и Ледового побоища не было»: ЕС потребовал от России переписать учебники истории	1
Microsoft решила подождать с выпуском новой консоли	0
К президентским выборам 2024 года в России полностью перейдут на электронный формат голосования	1
Герман Греф заявил об успешной покупке Федеральной антимонопольной службы	1
Бывший министр обороны Анатолий Сердюков возглавил два комитета в ОДК	0
Китайская OnePlus выпустила дешевый аналог флагманских смартфонов	0
К концу 2024 года в России будут демонтированы все памятники Ленину	1
Лучшим работодателем России в 2021 году признан Совет Федерации	1
Аэропорт Домодедово обслужил за месяц более миллиона пассажиров	0
Певец Matrang отказался исполнять «Медузу» после признания ее иноагентом	1
В Копенгагене открыли приют для бездомных зоозащитников	1
«У нас будет свой Талибан, православный»: Герман Стерлигов отреагировал на захват Афганистана террористами	1
Испанцы нашли зуб своего древнейшего предка	0
Bloomberg приравнял активы четырех крупнейших банков США к ВВП страны	0
Радикальные феминистки пострадали при попытке отрубить пенис статуе Давида в Пушкинском музее	1
Зеленский включил Ивангая в нацсовет по делам голодомора, а Дудя - в санкционный список	1
Роспотребнадзор призвал мужчин не дарить подарки 8 марта	1
Лидеры Спартака продлили контракты с клубом	0
Визит Трампа на завод Harley-Davidson отменили из-за угрозы протестов	0
Производитель мессенджера Line удвоил выручку по итогам третьего квартала	0
В перечень недружественных к России государств вошла Москва	1
Жалоба на отказ в регистрации контракта Ковальчука отклонена	0
Песню «Мальчишника» про расовую чистоту признали экстремистской	0
Rolling Stones сняли ролик о возвращении «Монти Пайтон»	0
Центробанк и Минфин не сошлись в оценке оттока капитала из России	0
ВВС США выкупят у Армии вертолеты Black Hawk	0
Илья Варламов высоко оценил качество жилищного строительства в Центральной Африке	1
Из-за роста цен на газ семье из Штутгарта пришлось отказаться от покупки Porsche	1
Из-за рекордной цены на газ Германия закупит для нужд отопления 100 тысяч тонн российских рублей	1
Московские власти выбрали бесплатный день для музеев	0
Елена Исинбаева осталась без спортивного Оскара	0
Найдены древнейшие землеройные и лазающие по деревьям млекопитающие	0
